Transaction_ID,Account_ID,Amount,Date,Location,Type
T57,A5116,-348.2,2023-02-08T20:49:14.000Z,Sevilla,Depósito
T58,A6523,2848.67,2023-10-07T08:37:10.000Z,Madrid,Depósito
T59,A7113,-242.46,2023-01-03T10:36:28.000Z,Valencia,Transferencia
T60,A2285,1983.49,2023-08-14T01:08:22.000Z,Zaragoza,Retiro
T61,A6944,1395.77,2023-12-26T01:18:58.000Z,Valencia,Depósito
T62,A6162,-630.46,2023-11-19T07:35:27.000Z,Valencia,Retiro
T63,A4240,681.31,2023-06-17T23:23:36.000Z,Barcelona,Retiro
T64,A3904,-947.41,2023-10-15T06:31:04.000Z,Valencia,Depósito
T65,A8726,4208.26,2023-03-03T01:35:01.000Z,Valencia,Depósito
T66,A669,2693.93,2023-03-21T09:17:12.000Z,Valencia,Transferencia
T67,A6650,2477.74,2023-11-14T07:54:14.000Z,Zaragoza,Transferencia
T68,A4272,4850.71,2023-01-20T23:54:00.000Z,Zaragoza,Retiro
T69,A9906,3701.9,2023-03-18T13:17:37.000Z,Barcelona,Transferencia
T70,A8307,654.57,2023-06-20T02:05:27.000Z,Barcelona,Transferencia
T71,A2919,-727.18,2023-06-17T05:16:05.000Z,Barcelona,Depósito
T72,A7081,2439.94,2023-09-08T15:33:21.000Z,Zaragoza,Depósito
T73,A1650,569.74,2023-03-27T00:47:47.000Z,Valencia,Pago
T74,A3672,830.14,2023-06-18T16:31:04.000Z,Valencia,Retiro
T75,A850,182.75,2023-04-11T20:04:06.000Z,Zaragoza,Retiro
T76,A7139,-32.83,2023-05-02T21:43:32.000Z,Valencia,Retiro
T77,A7613,-548.84,2023-08-22T23:00:00.000Z,Valencia,Pago
T78,A871,-710.63,2023-08-04T18:50:35.000Z,Barcelona,Depósito
T79,A4384,2066.43,2023-10-12T02:01:12.000Z,Barcelona,Depósito
T80,A6319,3805.94,2023-04-17T02:17:04.000Z,Valencia,Retiro
T81,A1028,705.93,2023-05-26T18:04:23.000Z,Valencia,Pago
T82,A3189,-54.76,2023-08-09T19:29:57.000Z,Madrid,Pago
T83,A3775,4798.52,2023-04-06T17:46:46.000Z,Madrid,Depósito
T84,A6631,3489.16,2023-10-12T18:28:41.000Z,Valencia,Transferencia
T85,A1620,4846.22,2023-10-02T10:50:31.000Z,Valencia,Retiro
T86,A1220,2042.29,2023-03-06T05:22:28.000Z,Barcelona,Retiro
T87,A6456,-269.88,2023-12-28T02:47:01.000Z,Zaragoza,Transferencia
T88,A3122,4083.38,2023-10-13T16:25:14.000Z,Barcelona,Depósito
T89,A3906,2320.04,2023-07-14T11:16:43.000Z,Zaragoza,Retiro
T90,A4301,-459.87,2023-12-19T16:16:42.000Z,Valencia,Pago
T91,A5789,-84.01,2023-05-28T18:34:06.000Z,Madrid,Transferencia
T92,A6445,614.49,2023-06-06T20:15:40.000Z,Sevilla,Pago
T93,A1884,-279.87,2023-12-03T08:28:06.000Z,Valencia,Transferencia
T94,A7061,1333.91,2023-02-21T10:18:02.000Z,Madrid,Pago
T95,A6891,3037.03,2023-01-16T22:03:25.000Z,Barcelona,Transferencia
T96,A4051,51.25,2023-08-03T14:27:16.000Z,Zaragoza,Retiro
T97,A8062,1310.87,2023-08-10T19:41:42.000Z,Sevilla,Pago
T98,A3512,-631.99,2023-10-14T14:57:24.000Z,Sevilla,Pago
T99,A3080,4733.79,2023-05-17T17:31:10.000Z,Valencia,Transferencia
T100,A7926,3186.61,2023-01-21T10:11:24.000Z,Barcelona,Depósito
T101,A6474,2021.6,2023-03-05T04:32:51.000Z,Zaragoza,Retiro
T102,A4817,751.67,2023-06-03T15:34:15.000Z,Sevilla,Pago
T103,A6774,1291.26,2023-01-02T10:52:58.000Z,Valencia,Pago
T104,A9251,-471.01,2023-06-18T03:15:40.000Z,Valencia,Pago
T105,A2335,4748.05,2023-06-13T15:15:47.000Z,Barcelona,Transferencia
T106,A8911,3975.58,2023-02-04T19:01:23.000Z,Zaragoza,Depósito
T107,A8734,2277.65,2023-10-09T00:15:02.000Z,Sevilla,Pago
T108,A3489,-976.17,2023-05-09T01:31:09.000Z,Sevilla,Pago
T109,A7411,934.46,2023-11-12T00:44:20.000Z,Barcelona,Transferencia
T110,A6960,2256.39,2023-07-02T03:02:46.000Z,Valencia,Transferencia
T111,A2805,1838.98,2023-06-18T00:04:18.000Z,Madrid,Pago
T112,A6530,3073.0,2023-06-10T13:54:25.000Z,Valencia,Pago
T113,A9032,977.47,2023-07-24T16:14:23.000Z,Zaragoza,Depósito
T114,A8874,900.91,2023-08-15T15:59:44.000Z,Madrid,Retiro
T115,A9370,3888.82,2023-04-13T02:49:21.000Z,Sevilla,Depósito
T116,A5744,-96.92,2023-12-28T10:12:32.000Z,Zaragoza,Retiro
T117,A9561,-1.61,2023-02-18T23:19:48.000Z,Valencia,Depósito
T118,A9709,385.11,2023-07-26T12:00:37.000Z,Sevilla,Retiro
T119,A2229,3407.07,2023-06-08T10:54:19.000Z,Zaragoza,Transferencia
T120,A8784,3855.18,2023-11-04T11:13:35.000Z,Sevilla,Transferencia
T121,A1581,974.19,2023-11-16T01:47:57.000Z,Madrid,Pago
T122,A7890,582.54,2023-10-12T23:29:43.000Z,Sevilla,Retiro
T123,A2025,1473.45,2023-05-06T11:26:21.000Z,Zaragoza,Depósito
T124,A1154,628.16,2023-01-04T09:03:24.000Z,Barcelona,Pago
T125,A3955,3098.23,2023-02-27T19:27:10.000Z,Sevilla,Transferencia
T126,A6814,255.2,2023-05-07T17:07:18.000Z,Zaragoza,Retiro
T127,A5186,3511.49,2023-09-21T03:28:13.000Z,Zaragoza,Pago
T128,A591,4903.17,2023-03-18T12:23:14.000Z,Zaragoza,Depósito
T129,A8452,2559.95,2023-07-13T12:07:32.000Z,Sevilla,Depósito
T130,A6287,-465.33,2023-07-14T10:18:58.000Z,Barcelona,Depósito
T131,A2519,4505.43,2023-11-28T11:55:24.000Z,Madrid,Retiro
T132,A5689,-888.11,2023-03-04T14:11:44.000Z,Valencia,Pago
T133,A9236,-310.96,2023-02-07T14:43:36.000Z,Sevilla,Transferencia
T134,A8236,-325.77,2023-02-15T08:36:45.000Z,Barcelona,Retiro
T135,A4649,3677.46,2023-12-05T21:42:45.000Z,Zaragoza,Pago
T136,A9934,381.93,2023-08-10T21:25:02.000Z,Zaragoza,Pago
T137,A1697,602.47,2023-10-19T12:30:38.000Z,Valencia,Transferencia
T138,A2377,-157.05,2023-01-07T23:20:31.000Z,Sevilla,Retiro
T139,A3441,274.56,2023-08-20T21:12:05.000Z,Sevilla,Transferencia
T140,A8660,902.08,2023-07-07T00:10:21.000Z,Barcelona,Transferencia
T141,A5266,1123.97,2023-04-14T04:09:04.000Z,Zaragoza,Pago
T142,A2193,3160.36,2023-02-17T00:28:03.000Z,Sevilla,Pago
T143,A5142,1713.81,2023-02-22T03:45:58.000Z,Barcelona,Transferencia
T144,A4350,1096.48,2023-02-22T14:52:58.000Z,Zaragoza,Retiro
T145,A2168,-186.21,2023-03-07T12:49:26.000Z,Valencia,Depósito
T146,A4938,3535.66,2023-03-19T12:07:12.000Z,Sevilla,Depósito
T147,A4004,1372.52,2023-08-18T21:18:26.000Z,Zaragoza,Pago
T148,A7541,-919.14,2023-08-18T20:24:07.000Z,Zaragoza,Transferencia
T149,A6048,1452.31,2023-12-06T22:24:46.000Z,Sevilla,Pago
T150,A4580,-821.98,2023-02-10T07:51:27.000Z,Madrid,Pago
T151,A341,3783.51,2023-09-14T23:44:39.000Z,Valencia,Transferencia
T152,A5071,-104.71,2023-06-22T21:48:07.000Z,Barcelona,Transferencia
T153,A7119,264.78,2023-08-10T22:32:55.000Z,Sevilla,Pago
T154,A6233,3884.97,2023-07-17T15:15:37.000Z,Valencia,Pago
T155,A7260,3908.63,2023-09-18T05:41:06.000Z,Valencia,Pago
T156,A2732,-32.84,2023-09-26T17:54:40.000Z,Zaragoza,Transferencia
T157,A5235,1554.78,2023-06-10T08:31:59.000Z,Sevilla,Pago
T158,A1886,1393.38,2023-02-07T12:45:16.000Z,Madrid,Transferencia
T159,A7044,512.72,2023-09-27T04:49:58.000Z,Zaragoza,Transferencia
T160,A5427,2154.21,2023-07-07T00:42:28.000Z,Barcelona,Transferencia
T161,A2040,-766.98,2023-04-27T04:47:26.000Z,Sevilla,Depósito
T162,A5200,3192.9,2023-12-04T15:53:08.000Z,Zaragoza,Depósito
T163,A6869,-552.36,2023-09-18T06:37:59.000Z,Barcelona,Pago
T164,A2297,4551.92,2023-09-26T13:15:50.000Z,Valencia,Transferencia
T165,A9568,2983.29,2023-07-04T03:30:50.000Z,Zaragoza,Pago
T166,A7751,4254.49,2023-12-11T05:00:15.000Z,Barcelona,Transferencia
T167,A3087,2880.43,2023-07-02T04:15:30.000Z,Sevilla,Pago
T168,A793,2020.45,2023-08-13T06:14:08.000Z,Valencia,Pago
T169,A8057,501.25,2023-05-16T17:35:42.000Z,Sevilla,Retiro
T170,A1190,4116.73,2023-12-23T19:50:52.000Z,Valencia,Depósito
T171,A6140,-838.18,2023-11-17T20:48:13.000Z,Madrid,Pago
T172,A2188,1095.84,2023-01-16T00:45:04.000Z,Sevilla,Pago
T173,A1675,-627.64,2023-08-28T19:27:33.000Z,Valencia,Retiro
T174,A6520,4700.63,2023-11-20T01:23:57.000Z,Sevilla,Retiro
T175,A2866,1130.98,2023-06-11T11:32:40.000Z,Barcelona,Transferencia
T176,A3714,2596.41,2023-10-09T13:57:17.000Z,Madrid,Pago
T177,A7607,-276.44,2023-10-21T08:25:42.000Z,Barcelona,Transferencia
T178,A3364,1088.51,2023-02-03T16:05:38.000Z,Barcelona,Retiro
T179,A8766,189.4,2023-04-04T01:58:45.000Z,Sevilla,Depósito
T180,A8951,1819.21,2023-01-08T00:48:21.000Z,Sevilla,Pago
T181,A3881,789.4,2023-07-13T09:30:27.000Z,Valencia,Transferencia
T182,A3194,3305.68,2023-04-07T22:59:10.000Z,Sevilla,Pago
T183,A1753,-548.47,2023-12-26T01:36:09.000Z,Barcelona,Retiro
T184,A479,-256.93,2023-02-14T20:47:26.000Z,Zaragoza,Retiro
T185,A3301,-23.5,2023-04-15T02:48:36.000Z,Valencia,Pago
T186,A6755,-116.57,2023-12-19T07:32:29.000Z,Zaragoza,Depósito
T187,A4167,-308.31,2023-05-24T16:54:17.000Z,Valencia,Retiro
T188,A8858,2113.67,2023-11-10T02:08:26.000Z,Zaragoza,Transferencia
T189,A7213,1891.0,2023-01-10T09:07:47.000Z,Valencia,Depósito
T190,A2116,1660.09,2023-03-06T03:41:30.000Z,Barcelona,Retiro
T191,A1234,4656.79,2023-01-15T19:27:41.000Z,Zaragoza,Retiro
T192,A7424,682.48,2023-04-19T18:17:01.000Z,Zaragoza,Depósito
T193,A73,-887.63,2023-11-05T11:43:04.000Z,Sevilla,Depósito
T194,A1355,4891.59,2023-08-02T20:18:16.000Z,Zaragoza,Transferencia
T195,A3971,1600.92,2023-07-21T02:58:25.000Z,Valencia,Pago
T196,A2165,205.5,2023-04-03T23:02:35.000Z,Zaragoza,Pago
T197,A3677,4252.41,2023-10-09T20:19:07.000Z,Madrid,Depósito
T198,A8336,2296.21,2023-02-04T06:53:03.000Z,Madrid,Retiro
T199,A6121,4623.1,2023-06-09T01:27:08.000Z,Barcelona,Pago
T200,A4005,79.22,2023-08-11T21:55:20.000Z,Barcelona,Transferencia
T201,A4487,31.78,2023-10-21T13:40:10.000Z,Valencia,Depósito
T202,A4117,-851.98,2023-06-03T07:29:58.000Z,Zaragoza,Depósito
T203,A5311,4551.11,2023-01-23T20:55:03.000Z,Sevilla,Depósito
T204,A5561,700.07,2023-05-19T11:55:22.000Z,Madrid,Pago
T205,A4158,737.5,2023-05-21T05:58:58.000Z,Madrid,Retiro
T206,A9446,961.6,2023-07-13T22:48:00.000Z,Zaragoza,Pago
T207,A4666,3714.12,2023-02-18T08:42:21.000Z,Sevilla,Retiro
T208,A5568,-219.66,2023-04-18T02:53:43.000Z,Madrid,Pago
T209,A7731,492.68,2023-02-15T10:05:22.000Z,Zaragoza,Pago
T210,A6633,3675.53,2023-11-19T05:36:08.000Z,Valencia,Depósito
T211,A1991,2984.1,2023-09-20T06:32:18.000Z,Madrid,Depósito
T212,A6966,4937.25,2023-03-11T22:27:54.000Z,Sevilla,Depósito
T213,A1715,-723.75,2023-01-16T07:12:09.000Z,Valencia,Pago
T214,A7438,4545.15,2023-09-04T01:18:18.000Z,Valencia,Depósito
T215,A3809,3940.24,2023-03-15T17:03:13.000Z,Madrid,Retiro
T216,A4671,3893.64,2023-03-09T02:49:12.000Z,Sevilla,Retiro
T217,A8130,4573.16,2023-10-19T22:50:06.000Z,Barcelona,Retiro
T218,A3039,4195.16,2023-07-14T07:25:26.000Z,Madrid,Depósito
T219,A217,4922.98,2023-02-07T04:30:15.000Z,Zaragoza,Transferencia
T220,A6636,4587.44,2023-09-24T06:22:20.000Z,Madrid,Transferencia
T221,A1889,2917.03,2023-05-16T20:08:36.000Z,Madrid,Retiro
T222,A6305,1460.47,2023-07-27T22:43:06.000Z,Valencia,Transferencia
T223,A7868,2093.98,2023-01-21T06:33:27.000Z,Valencia,Pago
T224,A6549,383.85,2023-02-06T02:35:53.000Z,Madrid,Pago
T225,A6536,3405.02,2023-09-11T10:47:58.000Z,Barcelona,Depósito
T226,A6129,2758.8,2023-11-25T01:08:05.000Z,Sevilla,Depósito
T227,A4336,-595.04,2023-01-05T08:02:21.000Z,Zaragoza,Retiro
T228,A8798,2417.86,2023-01-06T10:06:36.000Z,Sevilla,Pago
T229,A7820,2520.89,2023-07-10T15:23:49.000Z,Sevilla,Pago
T230,A520,4791.46,2023-07-02T19:40:48.000Z,Sevilla,Depósito
T231,A4470,2603.56,2023-09-05T19:01:50.000Z,Madrid,Transferencia
T232,A5858,1866.47,2023-01-03T01:47:04.000Z,Barcelona,Retiro
T233,A4666,295.51,2023-09-25T16:14:26.000Z,Zaragoza,Transferencia
T234,A999,3358.79,2023-07-16T11:13:57.000Z,Valencia,Depósito
T235,A3945,66.08,2023-11-23T20:20:48.000Z,Sevilla,Transferencia
T236,A3914,1658.81,2023-10-25T16:05:08.000Z,Sevilla,Retiro
T237,A1050,3964.92,2023-01-13T10:29:38.000Z,Sevilla,Transferencia
T238,A1130,2004.59,2023-11-25T23:30:04.000Z,Barcelona,Pago
T239,A6109,-653.32,2023-10-06T18:27:27.000Z,Zaragoza,Depósito
T240,A2933,3778.86,2023-11-26T06:45:57.000Z,Zaragoza,Pago
T241,A5645,854.25,2023-04-12T20:54:54.000Z,Valencia,Depósito
T242,A2264,69.11,2023-04-20T18:01:19.000Z,Zaragoza,Pago
T243,A8689,4869.79,2023-09-01T04:57:33.000Z,Valencia,Pago
T244,A7089,2899.58,2023-10-02T06:06:38.000Z,Madrid,Transferencia
T245,A2910,-777.93,2023-05-27T08:32:31.000Z,Valencia,Retiro
T246,A2529,532.72,2023-06-22T16:06:28.000Z,Valencia,Pago
T247,A8604,1166.95,2023-07-10T21:45:23.000Z,Valencia,Transferencia
T248,A4896,1608.45,2023-09-23T14:55:29.000Z,Sevilla,Transferencia
T249,A7012,4242.58,2023-10-19T00:08:45.000Z,Sevilla,Transferencia
T250,A8830,1772.94,2023-01-13T15:49:51.000Z,Valencia,Transferencia
T251,A2035,1471.64,2023-10-08T17:21:43.000Z,Barcelona,Pago
T252,A8740,943.81,2023-12-17T12:00:25.000Z,Barcelona,Transferencia
T253,A3790,2184.39,2023-04-23T19:33:45.000Z,Zaragoza,Pago
T254,A8709,34.95,2023-06-08T13:22:46.000Z,Zaragoza,Transferencia
T255,A881,3334.95,2023-09-12T07:41:07.000Z,Sevilla,Retiro
T256,A2580,357.53,2023-10-27T01:01:52.000Z,Barcelona,Pago
T257,A9989,3162.58,2023-12-08T23:04:24.000Z,Barcelona,Retiro
T258,A8402,3031.08,2023-01-08T22:52:23.000Z,Madrid,Pago
T259,A8669,-787.68,2023-04-15T06:40:56.000Z,Madrid,Retiro
T260,A2275,-446.28,2023-11-28T07:52:08.000Z,Madrid,Depósito
T261,A1725,1597.04,2023-02-06T14:29:19.000Z,Sevilla,Transferencia
T262,A6462,-362.57,2023-06-12T20:09:14.000Z,Sevilla,Transferencia
T263,A9303,696.16,2023-12-10T18:42:37.000Z,Zaragoza,Pago
T264,A447,4924.52,2023-12-06T12:19:03.000Z,Madrid,Retiro
T265,A8835,1702.88,2023-02-05T02:28:50.000Z,Valencia,Transferencia
T266,A3211,4146.18,2023-07-22T07:44:13.000Z,Sevilla,Retiro
T267,A1179,4231.05,2023-06-09T22:36:27.000Z,Valencia,Depósito
T268,A3103,3513.21,2023-12-13T15:11:44.000Z,Zaragoza,Pago
T269,A6336,2970.22,2023-06-02T18:16:27.000Z,Zaragoza,Depósito
T270,A6165,-40.4,2023-01-03T12:27:41.000Z,Valencia,Retiro
T271,A1164,1748.06,2023-10-08T17:03:48.000Z,Madrid,Pago
T272,A4068,-418.8,2023-07-28T23:09:49.000Z,Sevilla,Depósito
T273,A8756,1658.43,2023-01-01T13:15:54.000Z,Zaragoza,Depósito
T274,A6386,4977.28,2023-12-22T15:20:00.000Z,Barcelona,Retiro
T275,A9929,-308.18,2023-10-12T19:40:54.000Z,Valencia,Retiro
T276,A6345,2939.33,2023-02-07T17:37:21.000Z,Barcelona,Transferencia
T277,A5292,2836.14,2023-03-05T04:27:45.000Z,Madrid,Pago
T278,A8611,3230.68,2023-09-28T12:47:50.000Z,Sevilla,Transferencia
T279,A1195,4388.38,2023-06-10T23:13:35.000Z,Barcelona,Pago
T280,A6018,4225.83,2023-12-03T00:21:25.000Z,Valencia,Depósito
T281,A3292,-558.45,2023-08-11T02:26:31.000Z,Madrid,Depósito
T282,A7536,559.37,2023-03-25T15:58:10.000Z,Madrid,Pago
T283,A8085,614.33,2023-11-18T08:22:24.000Z,Valencia,Depósito
T284,A1408,2271.78,2023-01-01T04:02:09.000Z,Barcelona,Retiro
T285,A8436,4218.35,2023-04-17T13:15:10.000Z,Barcelona,Depósito
T286,A9279,4301.05,2023-12-06T09:43:52.000Z,Sevilla,Transferencia
T287,A2114,3576.88,2023-10-17T21:44:44.000Z,Barcelona,Retiro
T288,A1066,2591.62,2023-02-03T13:59:42.000Z,Sevilla,Transferencia
T289,A783,1201.26,2023-02-13T19:10:50.000Z,Madrid,Depósito
T290,A813,2082.76,2023-11-05T03:01:50.000Z,Madrid,Retiro
T291,A7370,2302.08,2023-03-23T22:13:08.000Z,Zaragoza,Transferencia
T292,A4133,3870.34,2023-02-08T07:51:15.000Z,Zaragoza,Retiro
T293,A4687,3680.44,2023-03-26T15:07:53.000Z,Valencia,Retiro
T294,A8707,2853.23,2023-09-23T10:32:33.000Z,Sevilla,Retiro
T295,A9612,652.74,2023-12-06T14:33:02.000Z,Madrid,Transferencia
T296,A5229,1090.31,2023-08-15T21:34:33.000Z,Madrid,Transferencia
T297,A5122,-731.79,2023-09-13T12:07:30.000Z,Valencia,Depósito
T298,A2210,286.85,2023-06-04T03:51:03.000Z,Barcelona,Retiro
T299,A1316,2859.66,2023-08-12T17:51:43.000Z,Valencia,Transferencia
T300,A393,1649.64,2023-07-28T16:48:36.000Z,Zaragoza,Pago
T301,A5263,1821.47,2023-10-13T06:41:40.000Z,Valencia,Transferencia
T302,A1911,2617.11,2023-03-17T06:20:12.000Z,Sevilla,Pago
T303,A5447,3549.79,2023-11-12T06:09:15.000Z,Sevilla,Depósito
T304,A3947,4470.7,2023-08-17T15:05:13.000Z,Barcelona,Pago
T305,A4217,4542.38,2023-08-18T13:05:07.000Z,Madrid,Transferencia
T306,A9975,-177.01,2023-03-28T13:40:30.000Z,Barcelona,Retiro
T307,A2338,-208.57,2023-03-25T04:23:09.000Z,Barcelona,Retiro
T308,A4493,-318.85,2023-04-19T05:11:52.000Z,Madrid,Pago
T309,A2763,585.2,2023-08-11T19:00:11.000Z,Zaragoza,Depósito
T310,A1251,894.13,2023-12-08T11:46:50.000Z,Barcelona,Retiro
T311,A5198,2651.76,2023-01-12T21:56:26.000Z,Valencia,Retiro
T312,A5108,1971.51,2023-08-10T08:50:21.000Z,Barcelona,Retiro
T313,A9561,2940.68,2023-05-27T19:06:41.000Z,Zaragoza,Depósito
T314,A4404,2641.18,2023-08-06T15:08:22.000Z,Madrid,Transferencia
T315,A8494,173.84,2023-07-06T15:22:08.000Z,Valencia,Transferencia
T316,A656,192.05,2023-03-15T22:27:28.000Z,Madrid,Pago
T317,A645,250.41,2023-03-19T10:25:07.000Z,Sevilla,Pago
T318,A4688,3195.16,2023-02-24T16:50:47.000Z,Valencia,Transferencia
T319,A1966,4529.68,2023-06-04T16:25:44.000Z,Valencia,Depósito
T320,A9274,-851.39,2023-08-17T08:08:51.000Z,Zaragoza,Pago
T321,A4727,-478.32,2023-10-17T15:37:16.000Z,Valencia,Depósito
T322,A6115,-44.76,2023-11-05T00:25:23.000Z,Valencia,Depósito
T323,A1766,1393.56,2023-05-05T15:05:22.000Z,Barcelona,Retiro
T324,A1268,2890.58,2023-10-11T00:13:04.000Z,Zaragoza,Transferencia
T325,A819,4469.35,2023-06-10T04:58:07.000Z,Barcelona,Pago
T326,A5382,3296.66,2023-08-22T03:32:25.000Z,Zaragoza,Depósito
T327,A6853,3303.75,2023-03-03T16:03:02.000Z,Barcelona,Transferencia
T328,A8300,56.0,2023-09-11T04:06:06.000Z,Barcelona,Retiro
T329,A2726,3404.68,2023-07-21T20:02:03.000Z,Zaragoza,Retiro
T330,A5340,3841.18,2023-12-11T07:53:01.000Z,Madrid,Transferencia
T331,A1878,2943.57,2023-03-17T22:16:46.000Z,Valencia,Transferencia
T332,A9832,-952.35,2023-03-02T19:29:11.000Z,Sevilla,Transferencia
T333,A6409,1221.67,2023-04-25T12:45:30.000Z,Madrid,Transferencia
T334,A8687,2519.88,2023-08-07T19:12:07.000Z,Madrid,Transferencia
T335,A381,4871.72,2023-11-13T07:14:48.000Z,Barcelona,Pago
T336,A7483,1960.41,2023-06-09T20:04:40.000Z,Sevilla,Pago
T337,A7164,100.23,2023-05-22T21:28:19.000Z,Sevilla,Transferencia
T338,A6134,1023.42,2023-01-15T18:46:41.000Z,Zaragoza,Retiro
T339,A8362,3269.41,2023-11-23T13:47:11.000Z,Barcelona,Pago
T340,A3326,-735.65,2023-10-09T20:25:29.000Z,Zaragoza,Transferencia
T341,A5947,3050.88,2023-06-12T06:25:01.000Z,Zaragoza,Pago
T342,A6754,-462.21,2023-09-27T23:07:23.000Z,Barcelona,Transferencia
T343,A8356,4746.08,2023-01-20T09:57:14.000Z,Barcelona,Retiro
T344,A7895,269.18,2023-10-19T06:36:16.000Z,Zaragoza,Retiro
T345,A3532,1369.41,2023-03-22T03:49:15.000Z,Madrid,Depósito
T346,A5147,903.53,2023-03-19T07:53:44.000Z,Barcelona,Depósito
T347,A383,3157.82,2023-04-28T16:52:50.000Z,Barcelona,Retiro
T348,A8453,3355.07,2023-01-20T18:47:39.000Z,Madrid,Pago
T349,A9407,3450.67,2023-12-20T02:01:56.000Z,Valencia,Retiro
T350,A7559,3514.37,2023-02-03T20:14:35.000Z,Sevilla,Pago
T351,A7191,1742.17,2023-03-12T16:54:50.000Z,Madrid,Transferencia
T352,A322,2851.01,2023-10-14T01:49:08.000Z,Sevilla,Depósito
